,Topic_1,Topic_2,Topic_3,Topic_4
0,chihiro,sen,haku,way
1,come,right,dont,lin
2,hurry,please,back,little
3,see,youre,mom,give
4,cant,thank,thats,still
5,good,ill,dad,eat
6,wait,yubaba,look,inside
7,take,one,get,coming
8,got,hes,name,tell
9,kamaji,gold,lets,sorry
