line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
634,Were in a fine mess now.,24,6,negative,-0.1779,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6249447061589181,2
635,Hes a No Face.,14,4,negative,-0.296,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6886446379833324,1
636,"Thats right, a No Face!",23,5,negative,-0.3595,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.5310882153763041,1
637,Your greed attracted quite a guest.,35,6,neutral,0.0258,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.41186267535359167,5
638,Dont do anything stupid,23,4,positive,0.4168,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.4618098605777885,0
639,Just look at this carpet.,25,5,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249604403162062,6
640,Get Haku out of here.,21,5,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6887092651003526,6
641,Hes useless to me now.,22,5,negative,-0.4215,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.624943930950777,1
642,"Bo, sleeping outside",20,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6891083674176862,0
643,"Oh Im sorry, you were",21,5,negative,-0.0772,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6249255959828995,0
644,Baba still has work to do.,26,6,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.5125864136019539,6
645,"Go back to sleep now,",21,5,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.44267493250372075,0
646,"Ouch, let me go!",16,4,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.42276922784798643,4
647,"Oh, thanks for helping me.",26,5,positive,0.6249,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249341267225018,6
648,"But Im in a hurry,",18,5,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6249725764855618,2
649,You came to make me sick.,25,6,negative,-0.5106,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.5329468135774772,0
650,The outside has bad germs.,26,5,negative,-0.5423,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6891129392473262,0
651,Im a human.,11,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6249216885730127,0
652,Youll get sick out there.,25,5,negative,-0.5106,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.4846695902396904,6
653,Stay here and play with me.,27,6,positive,0.34,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.684140190558825,6
654,Are you sick?,13,3,negative,-0.5106,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6248824610807843,0
655,Im in here cause,16,4,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
656,Staying inside will make you sick!,34,6,negative,-0.5562,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6000026162061348,0
657,"You see, someone I really",25,5,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.43985784785176024,4
658,Ive got to go right now.,24,6,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.5319091295163542,2
659,Please let me go.,17,4,positive,0.3182,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6883935449390773,1
660,"If you go, Ill start crying.",28,6,negative,-0.7096,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6864707907349019,1
661,Ill break your little arm.,26,5,negative,-0.4215,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.3346207235118554,4
662,Youre hurting me!,17,3,negative,-0.4574,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6249679681922922,1
663,"Please, Ill come play with you later.",37,7,positive,0.2263,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.5916339482469397,1
664,"No, I wanna play now!",21,5,positive,0.126,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6127492975387181,1
665,Blood! See? Its blood!,22,4,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.5177527729041591,3
666,Haku!,5,1,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249827369555452,6
