,Topic_1,Topic_2,Topic_3,Topic_4
0,right,end,gina,come
1,got,good,win,ill
2,hes,old,bet,one
3,shut,days,porco,get
4,pilots,tell,youre,see
5,time,dont,thats,back
6,coming,look,pig,fio
7,know,beautiful,take,cant
8,shes,way,going,girl
9,money,stop,plane,put
