line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
773,Go fight somewhere else!,24,4,negative,-0.4389,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6887571765894414,3
774,Look at those vapor trails!,27,5,neutral,0.0,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.62492882697126,5
775,You only see this once in a lifetime!,37,8,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6249577589657118,3
776,This is so moving!,18,4,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
777,If she doesnt hurry shell miss it.,34,7,positive,0.1139,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.41920807202258265,6
778,She wont come out of her room.,30,7,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6781435475651824,3
779,Are we going or not? I want to see it too!,42,11,negative,-0.1316,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.5211119651588718,6
780,F to Gina. Warn pig.,20,5,negative,-0.1027,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6875659143482847,2
781,Stop fooling around. Air Force is coming.,41,7,negative,-0.5994,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.34834011467385223,4
782,F? Thats Ferrarin.,18,3,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6736848060496535,3
783,Time to go!,11,3,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6249407597835509,0
784,Theyre both really tough.,25,4,negative,-0.2006,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6880744814712807,2
785,Theyre just getting warmed up.,30,5,positive,0.2732,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6249301606442306,2
786,"Go, Porco!",10,2,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6249753081213054,2
787,You stupid pig!,15,3,negative,-0.5707,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6770378689145178,2
