line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
86,"- Kiki, its time.",17,3,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6678629314008433,0
87,Thats the broom youre going to be leaving on?,45,9,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.4658612645763266,3
88,Yep. I just made it this morning.,33,7,positive,0.296,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7025417479250432,4
89,"Honey, its too small to be really safe.",39,8,positive,0.4927,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5999489587754752,1
90,"But, Mom, that ones so old.",27,6,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7052124924273101,4
91,And thats why its good.,23,5,positive,0.4404,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.38454500158330324,5
92,"Now, Kiki, do this for me, please!",34,7,positive,0.3802,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.40950290939669587,2
93,But I put so much work into this one!,37,9,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7227500179191192,4
94,"Your broom is nice, but lets take your mothers.",47,9,positive,0.2263,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7319753989922116,4
95,Youre no help!,14,3,positive,0.2003,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.40627814752508906,5
96,"Now, Kiki, cant you make yourself",33,6,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.702197772567511,0
97,Be careful.,11,2,positive,0.1531,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
98,"- Youll be strong, okay?",24,4,positive,0.6369,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.6673060190309783,3
99,"Go, Kiki! Go, Kiki!",19,4,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.599997270640632,0
100,Aim your brookstiiick...,24,3,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
101,May our little baby be well,27,6,positive,0.2111,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5063467353662576,2
102,Im going to miss the one who,28,7,negative,-0.1531,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7065259745010148,4
103,Where are we going?,19,4,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5987919945419674,4
104,"Im heading the south, to see the ocean!",39,8,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6676936548996648,1
105,"Jiji, climb up and turn on the radio.",37,8,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.4800077321661063,2
106,Kikis Delivery Service,22,3,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.7062549881905251,0
107,"Hey, good evening!",18,3,positive,0.4926,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5981600809020137,0
108,It was.,7,2,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
109,"You are new, arent you?",23,5,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6625892317400187,0
110,"Yep, how do you guess?",22,5,positive,0.296,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.38354352740082914,5
111,Would you mind,14,3,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6679444243803669,1
112,I prefer to fly without being distracted.,41,7,positive,0.2584,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.6681632287174504,2
113,Could you tell me is it really hard to,38,9,negative,-0.1761,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.7053708540437643,1
114,"Oh, yes. A lot can go wrong.",28,7,negative,-0.1027,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.47467153346890556,1
115,"But since my skill is fortune-telling,",38,7,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7298150241436733,3
116,Fortune-telling?,16,2,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6669262744391439,1
117,"Yes, I tell fortunes about love.",32,6,positive,0.7845,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.7038916741597242,1
118,And what exactly is your skill?,31,6,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6676338369412296,0
119,"Well, I havent really decided that yet.",39,7,positive,0.2732,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.704862277157244,0
120,"Uh-huh. Well, Im nearly finished",32,6,positive,0.2732,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5999423340985491,0
121,Im going home soon to show off my new skills.,45,10,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.451178758162839,4
122,-Thats my town down there.,26,5,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.6670415216447,3
123,"Yes, to you, Im sure it looks big.",34,8,positive,0.6124,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5910959866060541,4
124,- I hope you dont have too tough a time.,40,9,positive,0.5057,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7005838365490362,3
125,Ciao!,5,1,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
126,"Geez, What a snob! And did you see that cat?",44,10,negative,-0.5093,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6684787795184185,1
127,Whats my skill?,15,3,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.667364800518695,0
128,What are we gonna do!? We cant stay up!,39,9,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.7040881723849222,1
129,Hold on!,8,2,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5999824906502613,4
130,We better rest here until its dry.,34,7,positive,0.4404,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.40568057097571775,5
131,- Wont we get in trouble?,25,5,negative,-0.4019,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7011941830302977,3
132,"Im soaked through, down to the bone!",36,7,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
133,Hello?,6,1,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5999786051025733,0
134,This smells great!,18,3,positive,0.6588,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6656703611198316,0
135,Sorry. We didnt mean to fall asleep,35,7,negative,-0.0772,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5124773804875432,1
136,"Jiji, youve gotta come see the ocean.",37,7,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5188007325581179,2
137,Its beautiful!,14,2,positive,0.636,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5999869826266067,2
138,- Big deal. Just a big puddle of water.,39,8,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6945889156833719,4
139,How lovely!,11,2,positive,0.6239,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
140,"Oh, great...",12,2,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5999941222971129,0
141,Ready? Set...Go!,16,3,positive,0.4199,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.599982076804232,1
142,Hold on!,8,2,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5999824906502613,4
143,You okay back there?,20,4,positive,0.2263,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.3820385127706695,5
144,Wow! This is just the kind of place,35,8,positive,0.6239,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7066018654695942,2
145,Wow! A clock tower!,19,4,positive,0.658,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.6679274308313761,2
146,Look at the city!,17,4,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.6631455130178919,3
147,But there may be some witches living,36,7,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.7053874029137844,0
148,And there may not be.,21,5,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5999911854786337,0
149,- Look at how many people there are!,36,7,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5259227514784653,4
150,Bless my hourglass!,19,3,positive,0.4753,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
151,Good morning!,13,2,positive,0.4926,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6638906101040586,4
152,Do any witches live in this town?,33,7,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7040971726126714,3
153,No body seen one around here in a long time.,44,10,negative,-0.296,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5558187112297368,4
154,Thats great! Our trip is over.,30,6,positive,0.6588,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.3324281919633162,5
155,"- Thanks, mister! Bye!",22,3,positive,0.5399,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.6684945795763706,3
156,- Tell me were not landing down there.,38,7,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5999930066995957,1
157,They are looking at us.,23,5,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.599950370910372,2
158,I know. Smile so well make a good impression.,45,9,positive,0.8521,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7040811298751799,4
159,"Um...Hi! My name is Kiki, and Im a witch.",41,10,negative,-0.4199,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.49325693695612577,0
160,"And this is Jiji, hes my black cat.",35,8,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5929309633831288,1
161,Wed be honored if we could live here.,37,8,positive,0.5859,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6646215393392163,1
162,Your city is so amazing!,24,5,positive,0.7318,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6673223611124031,1
163,"Really? Thats very nice, dear. Bye.",35,6,positive,0.7379,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.5577232964674459,3
164,"Hey you, kid! Who do you think you are",38,9,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.5982423098996996,3
165,You are almost responsible for a big accident!,46,8,negative,-0.3367,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6676263508423298,4
166,Zooming around on your broom back there.,40,7,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5187301362689573,4
167,"But Im a new witch, sir.",24,6,negative,-0.5023,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7024999569156746,4
168,Youre supposed to obey the law.,31,6,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.666073649647618,3
169,Now give me your name and address.,34,7,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.2956441707479609,5
170,- Will you tell my parents?,27,5,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5999930066995957,1
171,I have to do that with every minor.,35,8,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5999485997444312,1
172,Thief! Somebody stop him!,25,4,negative,-0.7339,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6659047876715889,1
173,Now you stay right there!,25,5,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6669430654025972,1
174,Eh...Kiki?,10,2,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.599997270640632,0
175,Miss! Wait up!,14,3,negative,-0.2924,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.3896052426409742,5
176,"Hey, that was me yelling Thief!",31,6,negative,-0.5707,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5969080147691249,2
