,Topic_1,Topic_2,Topic_3,Topic_4
0,ashitaka,dont,eboshi,god
1,stop,look,lady,san
2,give,get,youre,deer
3,yakul,humans,wait,forest
4,come,okkoto,head,theyre
5,thank,shes,cant,still
6,even,help,man,hes
7,would,stay,kill,eat
8,life,let,sir,boar
9,tribe,live,ill,bring
