,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
0,know,thank,live,good,jiro,japanese
1,also,come,must,yeah,back,line
2,see,think,two,look,please,yes
3,beautiful,naoko,right,aircraft,want,stop
4,love,smoke,work,let,time,soon
5,first,little,give,take,brother,miles
6,person,one,done,village,yeah,okay
7,get,caproni,late,problem,dream,idea
8,trouble,say,dad,design,way,agents
9,herring,always,wind,honjo,sorry,tired
