,Topic_1,Topic_2,Topic_3,Topic_4
0,haru,thanks,arrietty,mother
1,saw,okay,papa,right
2,ill,hope,les,youre
3,little,sho,see,dont
4,yes,best,take,one
5,leaving,thank,get,niya
6,need,time,wont,wait
7,whas,house,care,family
8,thas,seen,got,way
9,people,going,pod,always
