line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
47,"Return to the forest, Ohmu.",27,5,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.4718880812547495,3
48,This is not your world.,23,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.583331354393634,6
49,Be a good boy.,14,4,positive,0.4404,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6543913354429841,6
50,Its blinded by rage.,20,4,negative,-0.5574,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833310604077486,4
51,Ive got to calm him.,20,5,positive,0.3182,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.2744173355798168,0
52,The flares stunned it.,22,4,negative,-0.1027,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833293809155409,6
53,An insect charm.,16,3,positive,0.4019,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833307127404264,2
54,"Awaken, Ohmu.",13,2,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323243235259,1
55,Return to the forest.,21,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6547048568620292,3
56,Its awake.,10,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
57,The Ohmus returning to the forest.,34,6,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6546746423725462,3
58,She tamed that Ohmu with,24,5,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323243235259,1
59,Lord Yupa!,10,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
60,Nausica!,8,1,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833324477384526,3
61,Its been a year and half.,25,6,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
62,Father will be glad.,20,4,positive,0.4588,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833306806886039,5
63,I must thank you.,17,4,positive,0.3612,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.36392291947580563,0
64,Youve become a great wind-rider.,32,6,positive,0.6249,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5121638350371466,1
65,"No, not according to father.",28,5,negative,-0.296,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833306806886039,5
66,"Of course, Id clean",19,4,positive,0.4019,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
67,"A fox-squirrel,",15,3,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.583323659115196,3
68,"When a winged insect snatched him,",34,6,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833307127404264,2
69,I had to fire my gun.,21,6,negative,-0.5859,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6547722088772727,2
70,Thats what enraged the Ohmu.,28,5,negative,-0.4019,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6546588935660165,1
71,Hed fainted so was,18,4,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
72,Better not touch him.,21,4,positive,0.4404,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.3678979987276237,0
73,Come.,5,1,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833320178320202,3
74,Here.,5,1,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
75,Hey...,6,1,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
76,Youre not scared.,17,3,positive,0.3412,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6516972382910219,2
77,See... youre not scared.,24,4,positive,0.3412,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.48629663972912235,2
78,See...,6,1,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833318657825293,6
79,You were just frightened.,25,4,negative,-0.4404,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
80,"Lord Yupa, may I have him?",26,6,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.44940001639628246,6
81,Why certainly.,14,2,positive,0.34,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833264330255055,6
82,Thank you.,10,2,positive,0.3612,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833322339579071,2
83,Kai and Kui Remember me?,24,5,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833249985158995,4
84,A mysterious power.,19,3,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
85,You must be tired.,18,4,negative,-0.4404,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833320251038131,4
86,Is everyone well?,17,3,positive,0.2732,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833322313612376,6
87,Whats wrong?,12,2,negative,-0.4767,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6543297878693598,2
88,My father...,12,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833306806886039,5
89,He can no longer fly.,21,5,negative,-0.296,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6540668606631688,2
90,Jihl...,7,1,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833293374763473,3
91,The forest poisons?,19,3,negative,-0.5719,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833314056204898,3
92,Yes.,4,1,positive,0.4019,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833320507874851,4
93,He says its fate for those,26,6,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833292063977902,5
94,I should have come sooner.,26,5,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833320178320202,3
