,Topic_1,Topic_2,Topic_3
0,laputa,sheeta,pazu
1,stone,get,dont
2,ill,wait,look
3,theyre,hurry,way
4,theres,girl,whats
5,nice,youre,know
6,muska,mama,pirates
7,help,cant,got
8,never,let,see
9,spell,maam,come
