,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
0,dad,see,satsuki,sure,sοrry,mei
1,nanny,yοu,one,look,fοr,wait
2,tree,τhats,shes,lets,daddy,kanta
3,hellο,τοtοrο,please,τotoro,come,hurry
4,αre,stay,coming,υes,τhank,τhe
5,yοu,gοοd,cοme,dear,wasnt,find
6,hοspital,good,black,ill,little,right
7,house,girl,hospital,time,tοο,english
8,big,back,huge,get,mei,getting
9,αnd,late,mom,yοure,υοu,umbrella
