,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
0,natsuko,mother,lets,get,mahito
1,come,know,eat,tower,spinning
2,ill,came,thats,himi,globe
3,back,time,sonny,cant,one
4,way,take,dont,thank,look
5,kiriko,world,father,granduncle,good
6,ive,day,stone,let,must
7,stop,baby,warawara,youre,make
8,return,could,home,see,long
9,mothers,lie,mlady,got,still
