line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
254,000948,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
255,- Sugar!,8,1,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5999505517871708,4
256,- Good for rice cakes!,22,4,positive,0.4926,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.7063545840401745,6
259,000950,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
260,Sweet bean paste!,17,3,positive,0.5093,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.5999762374614322,0
263,000951,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
264,- Sweet rice cakes!,19,3,positive,0.5093,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.5028616359100704,6
265,- Pure white sugar!,19,3,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5999505517871708,4
268,000955,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
269,Gimme a taste!,14,3,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.6685515863559662,6
272,000956,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
273,Me too!,7,2,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
276,000959,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
277,We can go now.,14,4,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
280,001000,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
281,So some places still have it!,29,6,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.5999846325189908,6
284,001006,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
285,Hes his mothers spitting image.,31,5,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.6682453106334072,3
288,001009,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
289,Such a pretty boy.,18,4,positive,0.4939,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.6684730770981053,6
292,001010,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
293,I hope he stays safe...,23,5,positive,0.4404,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
296,001013,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
297,You got smokes?!,16,3,neutral,0.0,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.5999878111962421,5
300,001014,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
301,Gimme one!,10,2,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.667394459015888,6
304,001032,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
305,This is your room.,18,4,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5999821452606968,4
308,001036,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
309,You must be tired.,18,4,negative,-0.4404,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.6678470071356618,6
310,Ill bring tea.,14,3,negative,-0.4215,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.30269649279040517,2
313,001234,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
314,Mom!,4,1,neutral,0.0,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.5999774811524984,5
317,001236,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
318,Mahito...,9,1,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.5999972568051255,6
319,Goodbye...,10,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
322,001240,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
323,Mom! Im coming!,15,3,neutral,0.0,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.379569173787307,2
326,001244,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
